driving_preference,safety_perception,automation_level,likelyhood_partial_five,likelyhood_auto_ten,benefit_more_safe,benefit_lower_insurance,benefit_allows_multitasking,benefit_high_govt_safety_rating,benefit_self_drive_highways,benefit_self_drive_traffic,benefit_better_mileage,benefit_self_park_dropoff,willingness_to_pay_extra,new_feature_safety,new_feature_connectivity,new_feature_self_drive,new_feature_alternative_engine,opinion_on_autonomous_vehicles,trust_factor_brand_well_known,trust_factor_track_record,trust_factor_government_approval,trust_factor_friend_family_recommendation,level_of_concern,perceived_usefulness,age_group,legal_driver,distance_driven,gender
Be driven by an autonomous car,9,Level 4 - Full self-drive,Somewhat likely,Extremely likely,3,7,2,4,6,5,8,1,$2500-5000,2,3,1,4,A fully self-driving car will free up my time and let me multitask,3,1,4,2,Slightly concerned,Definitely yes,50-60 years,Yes,10000-20000 kilometers,Male
Self-drive,7,Level 2 - Adaptive Safety Features,Somewhat likely,Neither likely nor unlikely,4,3,6,1,7,8,2,5,$0-2500,1,3,2,4,Traveling in a fully self-driving car will be a positive experience,3,2,1,4,Moderately concerned,Probably yes,30-40 years,Yes,0-5000 kilometers,Female
Be driven by an autonomous car,8,Level 4 - Full self-drive,Somewhat likely,Extremely likely,,,,,,,,,$0-2500,,,,,A fully self-driving car will free up my time and let me multitask,,,,,Moderately concerned,Definitely yes,50-60 years,Yes,>20000 kilometers,Male
Self-drive,8,Level 2 - Adaptive Safety Features,Somewhat unlikely,Somewhat unlikely,1,3,8,4,5,6,2,7,$2500-5000,1,2,4,3,Traveling in a fully self-driving car will be a positive experience,3,2,4,1,Moderately concerned,Might or might not,50-60 years,Yes,10000-20000 kilometers,Male
Self-drive,4,Level 3 - Partial self-drive,Somewhat unlikely,Somewhat unlikely,1,5,6,2,7,3,8,4,$0-2500,1,2,3,4,Traveling in a fully self-driving car will be a positive experience,,,,,Very concerned,Probably yes,20-30 years,Yes,>20000 kilometers,Female
Be driven by an autonomous car,8,Level 3 - Partial self-drive,Somewhat likely,Somewhat likely,6,5,1,7,3,4,8,2,$2500-5000,2,3,1,4,A fully self-driving car will free up my time and let me multitask,2,1,3,4,Very concerned,Definitely yes,30-40 years,Yes,5000-10000 kilometers,Male
Be driven by an autonomous car,10,Level 3 - Partial self-drive,Somewhat likely,Extremely likely,5,7,1,6,3,4,8,2,$2500-5000,3,4,1,2,A fully self-driving car will free up my time and let me multitask,4,1,2,3,Slightly concerned,Definitely yes,30-40 years,Yes,10000-20000 kilometers,Male
Be driven by an autonomous car,10,Level 2 - Adaptive Safety Features,Somewhat likely,Extremely likely,,,,,,,,,$2500-5000,2,3,1,4,Traveling in a fully self-driving car will be a positive experience,3,1,4,2,Moderately concerned,Probably yes,20-30 years,No,,Female
Be driven by an autonomous car,8,Level 3 - Partial self-drive,Somewhat likely,Somewhat likely,4,7,6,8,2,3,5,1,$2500-5000,1,4,2,3,I would trust a fully self-driving car to drive for me,3,1,4,2,Moderately concerned,Probably yes,50-60 years,Yes,10000-20000 kilometers,Male
Self-drive,1,Level 3 - Partial self-drive,Extremely likely,Extremely likely,3,7,5,1,2,6,4,8,$5000-7500,1,3,2,4,Fully-self driving cars will not be safe,1,3,2,4,Very concerned,Definitely yes,30-40 years,Yes,5000-10000 kilometers,Male
Self-drive,3,Level 2 - Adaptive Safety Features,Somewhat unlikely,Somewhat unlikely,2,7,8,1,4,3,6,5,$0-2500,1,4,2,3,Traveling in a fully self-driving car will be a positive experience,3,2,1,4,Very concerned,Probably yes,>60 years,Yes,>20000 kilometers,Male
Self-drive,4,Level 2 - Adaptive Safety Features,Somewhat likely,Somewhat unlikely,1,4,5,2,3,7,8,6,$0-2500,1,3,2,4,Fully-self driving cars will not be safe,1,2,4,3,Very concerned,Probably yes,30-40 years,Yes,0-5000 kilometers,Male
Self-drive,6,Level 4 - Full self-drive,Somewhat likely,Extremely likely,1,8,3,2,5,6,4,7,$0-2500,1,4,2,3,I would trust a fully self-driving car to drive for me,3,2,1,4,Very concerned,Probably yes,30-40 years,Yes,>20000 kilometers,Male
Self-drive,,Level 2 - Adaptive Safety Features,Somewhat likely,Somewhat unlikely,8,6,1,7,4,3,5,2,$0-2500,1,4,2,3,A fully self-driving car will free up my time and let me multitask,3,4,2,1,Moderately concerned,Probably yes,30-40 years,Yes,10000-20000 kilometers,Male
Be driven by an autonomous car,9,Level 4 - Full self-drive,Neither likely nor unlikely,Neither likely nor unlikely,7,8,2,6,3,4,5,1,$2500-5000,3,4,1,2,A fully self-driving car will free up my time and let me multitask,3,1,2,4,Moderately concerned,Definitely yes,20-30 years,Yes,10000-20000 kilometers,Male
Be driven by an autonomous car,7,Level 3 - Partial self-drive,Somewhat likely,Somewhat likely,1,7,4,8,3,2,6,5,$5000-7500,1,3,2,4,A fully self-driving car will free up my time and let me multitask,3,2,4,1,Slightly concerned,Probably yes,20-30 years,Yes,10000-20000 kilometers,Female
Be driven by an autonomous car,4,Level 2 - Adaptive Safety Features,Neither likely nor unlikely,Somewhat likely,1,4,5,2,7,8,3,6,$0-2500,1,2,4,3,Traveling in a fully self-driving car will be a positive experience,3,2,1,4,Very concerned,Probably yes,30-40 years,Yes,5000-10000 kilometers,Female
Self-drive,1,Level 2 - Adaptive Safety Features,Extremely likely,Neither likely nor unlikely,,,,,,,,,$0-2500,4,1,2,3,Fully-self driving cars will not be safe,1,4,2,3,Slightly concerned,Probably yes,20-30 years,Yes,5000-10000 kilometers,Female
Be driven by an autonomous car,3,Level 2 - Adaptive Safety Features,Somewhat unlikely,Somewhat unlikely,1,3,6,2,8,7,4,5,$0-2500,1,3,4,2,Fully-self driving cars will not be safe,1,2,4,3,Very concerned,Might or might not,30-40 years,Yes,5000-10000 kilometers,
Be driven by an autonomous car,6,Level 4 - Full self-drive,Somewhat likely,Somewhat likely,1,3,2,4,5,6,7,8,$0-2500,1,4,2,3,A fully self-driving car will free up my time and let me multitask,1,3,2,4,Slightly concerned,Definitely yes,30-40 years,Yes,5000-10000 kilometers,Male
Be driven by an autonomous car,5,Level 3 - Partial self-drive,Somewhat unlikely,Neither likely nor unlikely,1,2,4,3,5,7,6,8,$0-2500,1,4,2,3,A fully self-driving car will free up my time and let me multitask,3,1,4,2,Very concerned,Probably yes,20-30 years,Yes,5000-10000 kilometers,Female
Be driven by an autonomous car,8,Level 4 - Full self-drive,Somewhat likely,Extremely likely,6,7,4,8,2,3,5,1,$0-2500,2,3,1,4,I would trust a fully self-driving car to drive for me,2,3,4,1,Moderately concerned,Definitely yes,30-40 years,Yes,0-5000 kilometers,Female
Self-drive,3,Level 2 - Adaptive Safety Features,Neither likely nor unlikely,Somewhat unlikely,1,4,8,2,6,7,3,5,$2500-5000,1,4,2,3,Traveling in a fully self-driving car will be a positive experience,4,1,2,3,Moderately concerned,Probably not,20-30 years,Yes,10000-20000 kilometers,Female
Be driven by an autonomous car,3,Level 3 - Partial self-drive,Neither likely nor unlikely,Somewhat likely,5,7,1,8,3,2,6,4,$0-2500,1,3,2,4,A fully self-driving car will free up my time and let me multitask,1,2,4,3,Moderately concerned,Might or might not,30-40 years,Yes,0-5000 kilometers,Female
Self-drive,4,Level 2 - Adaptive Safety Features,Neither likely nor unlikely,Somewhat likely,5,6,3,2,1,4,7,8,$5000-7500,3,2,1,4,Fully-self driving cars will not be safe,3,1,4,2,Moderately concerned,Probably yes,20-30 years,Yes,0-5000 kilometers,Male
Self-drive,4,Level 3 - Partial self-drive,Somewhat unlikely,Neither likely nor unlikely,1,7,6,2,5,4,8,3,$0-2500,1,2,3,4,A fully self-driving car will free up my time and let me multitask,3,2,1,4,Very concerned,Probably yes,20-30 years,Yes,0-5000 kilometers,Female
Self-drive,1,Level 1 - Basic Automation,Extremely unlikely,Somewhat unlikely,2,3,5,1,6,7,4,8,$0-2500,1,2,4,3,Fully-self driving cars will not be safe,2,3,1,4,Very concerned,Probably not,20-30 years,Yes,0-5000 kilometers,Female
Be driven by an autonomous car,7,Level 4 - Full self-drive,Neither likely nor unlikely,Somewhat likely,7,6,4,8,2,3,5,1,$0-2500,2,3,1,4,I would trust a fully self-driving car to drive for me,2,3,4,1,Slightly concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Female
Be driven by an autonomous car,9,Level 4 - Full self-drive,Somewhat likely,Extremely likely,1,6,3,7,5,4,8,2,$2500-5000,2,3,1,4,I would trust a fully self-driving car to drive for me,1,3,4,2,Slightly concerned,Definitely yes,20-30 years,Yes,5000-10000 kilometers,Female
Be driven by an autonomous car,6,Level 3 - Partial self-drive,Somewhat likely,Somewhat unlikely,4,8,3,6,1,2,7,5,$2500-5000,3,2,1,4,A fully self-driving car will free up my time and let me multitask,,,,,Very concerned,Definitely yes,40-50 years,Yes,10000-20000 kilometers,Male
Be driven by an autonomous car,10,Level 2 - Adaptive Safety Features,Neither likely nor unlikely,Somewhat likely,1,2,6,7,4,5,8,3,$0-2500,1,4,3,2,Traveling in a fully self-driving car will be a positive experience,3,1,2,4,Slightly concerned,Definitely yes,40-50 years,Yes,10000-20000 kilometers,Male
Be driven by an autonomous car,9,"Level 1 - Basic Automation,Level",Extremely likely,Extremely likely,2,4,1,5,6,7,8,3,$5000-7500,2,3,1,4,A fully self-driving car will free up my time and let me multitask,3,1,2,4,Moderately concerned,Definitely yes,20-30 years,Yes,>20000 kilometers,Male
Self-drive,6,Level 2 - Adaptive Safety Features,Neither likely nor unlikely,Neither likely nor unlikely,7,6,8,4,2,3,5,1,$0-2500,1,3,2,4,Traveling in a fully self-driving car will be a positive experience,3,2,1,4,Moderately concerned,Probably yes,20-30 years,No,,Female
Self-drive,2,Level 2 - Adaptive Safety Features,Extremely unlikely,Somewhat unlikely,1,5,2,7,3,4,6,8,$0-2500,,,,,Fully-self driving cars will not be safe,4,1,2,3,Moderately concerned,Probably not,40-50 years,Yes,5000-10000 kilometers,Female
Be driven by an autonomous car,7,Level 4 - Full self-drive,Somewhat likely,Somewhat likely,6,3,2,1,5,7,8,4,$2500-5000,1,3,2,4,A fully self-driving car will free up my time and let me multitask,1,4,2,3,Slightly concerned,Definitely yes,30-40 years,Yes,>20000 kilometers,Male
Self-drive,8,Level 3 - Partial self-drive,Somewhat unlikely,Neither likely nor unlikely,1,5,6,2,7,8,3,4,$5000-7500,2,4,1,3,Traveling in a fully self-driving car will be a positive experience,4,3,2,1,Very concerned,Probably yes,30-40 years,Yes,0-5000 kilometers,Male
Self-drive,7,Level 2 - Adaptive Safety Features,Somewhat likely,Somewhat unlikely,2,3,1,4,5,6,7,8,$2500-5000,1,3,4,2,A fully self-driving car will free up my time and let me multitask,,,,,Moderately concerned,Might or might not,50-60 years,Yes,>20000 kilometers,Male
Self-drive,2,Level 1 - Basic Automation,Extremely unlikely,Extremely unlikely,7,1,6,8,5,2,4,3,$0-2500,,,,,Fully-self driving cars will not be safe,3,1,2,4,Very concerned,Definitely not,50-60 years,Yes,10000-20000 kilometers,Male
Self-drive,4,Level 2 - Adaptive Safety Features,Extremely unlikely,Neither likely nor unlikely,6,1,8,7,3,2,5,4,$0-2500,2,3,4,1,Fully-self driving cars will not be safe,2,3,4,1,Very concerned,Might or might not,30-40 years,Yes,10000-20000 kilometers,Male
Self-drive,6,Level 3 - Partial self-drive,Somewhat likely,Neither likely nor unlikely,1,2,3,4,5,6,7,8,$2500-5000,,,,,Traveling in a fully self-driving car will be a positive experience,,,,,Moderately concerned,Probably yes,30-40 years,Yes,10000-20000 kilometers,Male
Be driven by an autonomous car,6,Level 3 - Partial self-drive,Somewhat likely,Somewhat likely,2,6,8,1,4,5,7,3,$2500-5000,2,3,1,4,Traveling in a fully self-driving car will be a positive experience,2,1,3,4,Very concerned,Probably yes,30-40 years,Yes,10000-20000 kilometers,Female
Self-drive,3,Level 2 - Adaptive Safety Features,Somewhat unlikely,Extremely unlikely,6,2,5,7,4,3,8,1,$0-2500,3,2,4,1,,1,2,4,3,Moderately concerned,Definitely not,>60 years,Yes,>20000 kilometers,Male
Be driven by an autonomous car,9,Level 4 - Full self-drive,Neither likely nor unlikely,Extremely likely,1,6,3,8,4,5,7,2,$5000-7500,1,3,4,2,A fully self-driving car will free up my time and let me multitask,3,1,2,4,Very concerned,Definitely yes,40-50 years,Yes,>20000 kilometers,Male
Be driven by an autonomous car,8,Level 3 - Partial self-drive,Somewhat likely,Extremely likely,5,7,4,8,2,3,6,1,$0-2500,2,3,1,4,I would trust a fully self-driving car to drive for me,2,3,4,1,Moderately concerned,Probably yes,20-30 years,Yes,0-5000 kilometers,Female
Self-drive,2,Level 2 - Adaptive Safety Features,Somewhat unlikely,Neither likely nor unlikely,1,3,5,2,6,7,4,8,$0-2500,1,3,4,2,Fully-self driving cars will not be safe,3,1,2,4,Very concerned,Probably not,30-40 years,Yes,5000-10000 kilometers,Female
Be driven by an autonomous car,8,Level 3 - Partial self-drive,Extremely likely,Extremely likely,5,6,3,7,2,1,8,4,$2500-5000,2,3,1,4,Traveling in a fully self-driving car will be a positive experience,2,3,4,1,Slightly concerned,Definitely yes,20-30 years,Yes,10000-20000 kilometers,Female
Be driven by an autonomous car,9,Level 3 - Partial self-drive,Somewhat likely,Extremely likely,1,5,6,7,2,3,8,4,$7500 & above,2,3,1,4,I would trust a fully self-driving car to drive for me,2,3,4,1,Slightly concerned,Definitely yes,20-30 years,Yes,5000-10000 kilometers,Female
Be driven by an autonomous car,9,Level 2 - Adaptive Safety Features,Somewhat likely,Extremely likely,5,7,3,8,2,1,6,4,$5000-7500,3,2,1,4,I would trust a fully self-driving car to drive for me,1,3,4,2,Slightly concerned,Definitely yes,20-30 years,Yes,5000-10000 kilometers,Female
Be driven by an autonomous car,8,Level 3 - Partial self-drive,Neither likely nor unlikely,Somewhat likely,1,6,3,7,4,5,8,2,$2500-5000,1,3,2,4,Traveling in a fully self-driving car will be a positive experience,1,3,4,2,Slightly concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Female
Be driven by an autonomous car,8,Level 4 - Full self-drive,Somewhat likely,Somewhat likely,5,7,4,8,1,2,6,3,$2500-5000,2,3,1,4,Traveling in a fully self-driving car will be a positive experience,2,3,4,1,Slightly concerned,Probably yes,20-30 years,Yes,0-5000 kilometers,Female
Be driven by an autonomous car,9,Level 4 - Full self-drive,Somewhat likely,Extremely likely,5,6,4,8,2,3,7,1,$5000-7500,2,3,1,4,I would trust a fully self-driving car to drive for me,2,3,4,1,Slightly concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Female
Be driven by an autonomous car,7,Level 3 - Partial self-drive,Neither likely nor unlikely,Somewhat likely,5,6,4,7,2,3,8,1,$0-2500,2,3,1,4,A fully self-driving car will free up my time and let me multitask,1,3,4,2,Moderately concerned,Probably yes,20-30 years,Yes,0-5000 kilometers,Female
Be driven by an autonomous car,8,Level 4 - Full self-drive,Somewhat likely,Extremely likely,1,6,5,7,4,3,8,2,$2500-5000,1,3,2,4,I would trust a fully self-driving car to drive for me,4,2,3,1,Moderately concerned,Probably yes,20-30 years,Yes,0-5000 kilometers,Female
Be driven by an autonomous car,9,Level 4 - Full self-drive,Neither likely nor unlikely,Somewhat likely,1,6,5,7,2,3,8,4,$0-2500,2,3,1,4,Traveling in a fully self-driving car will be a positive experience,4,2,3,1,Moderately concerned,Probably yes,20-30 years,Yes,5000-10000 kilometers,Female
Be driven by an autonomous car,8,Level 3 - Partial self-drive,Somewhat likely,Extremely likely,2,6,5,7,3,4,8,1,$0-2500,2,3,1,4,I would trust a fully self-driving car to drive for me,3,2,4,1,Slightly concerned,Definitely yes,20-30 years,,0-5000 kilometers,Female
Be driven by an autonomous car,9,Level 2 - Adaptive Safety Features,Neither likely nor unlikely,Somewhat likely,1,6,2,7,3,4,8,5,$0-2500,1,3,2,4,Traveling in a fully self-driving car will be a positive experience,3,1,2,4,Moderately concerned,Probably yes,20-30 years,Yes,0-5000 kilometers,Female
Be driven by an autonomous car,8,Level 4 - Full self-drive,Somewhat likely,Somewhat likely,5,6,4,7,3,2,8,1,$0-2500,2,3,1,4,I would trust a fully self-driving car to drive for me,2,3,4,1,Moderately concerned,Definitely yes,30-40 years,Yes,0-5000 kilometers,Female
Be driven by an autonomous car,7,Level 3 - Partial self-drive,Somewhat likely,Extremely likely,4,6,5,7,3,2,8,1,$0-2500,2,3,1,4,I would trust a fully self-driving car to drive for me,2,3,4,1,Slightly concerned,Definitely yes,30-40 years,Yes,0-5000 kilometers,Female
Be driven by an autonomous car,7,Level 3 - Partial self-drive,Somewhat likely,Somewhat likely,2,5,7,1,3,8,4,6,$2500-5000,2,4,1,3,A fully self-driving car will free up my time and let me multitask,3,2,1,4,Very concerned,Definitely yes,30-40 years,Yes,5000-10000 kilometers,Male
