StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1,2,3,4,5,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,7,8_1,8_2,8_3,8_4,9,10_1,10_2,10_3,10_4,11,12,13,14,15,16
2017-07-14 18:55:55,2017-07-14 19:00:41,IP Address,82.113.106.96,100,286,True,2017-07-14 19:00:42,R_3Gm4ImJHUtNqBT7,,,,,49.594192504883,8.4718017578125,social,EN,Self-drive,3,Level 3 - Partial self-drive,Somewhat unlikely,Neither likely nor unlikely,8,6,2,1,3,4,5,7,$2500-5000,2,1,4,3,Fully-self driving cars will not be safe,4,1,2,3,Moderately concerned,Probably not,20-30 years,Yes,10000-20000 kilometers,Female
2017-07-14 18:54:56,2017-07-14 19:03:48,IP Address,49.35.11.211,100,531,True,2017-07-14 19:03:49,R_yR5bUaeUlnv3VWF,,,,,18.533294677734,73.86669921875,social,EN,Self-drive,3,Level 4 - Full self-drive,Somewhat unlikely,Somewhat unlikely,6,2,1,8,7,4,5,3,$0-2500,1,4,2,3,Fully-self driving cars will not be safe,1,3,4,2,Very concerned,Probably yes,30-40 years,Yes,5000-10000 kilometers,Female
2017-07-14 19:01:07,2017-07-14 19:04:07,IP Address,207.244.83.115,100,179,True,2017-07-14 19:04:08,R_d57MySrvp05USpr,,,,,38.770095825195,-77.632102966309,social,EN,Self-drive,6,Level 3 - Partial self-drive,Neither likely nor unlikely,Somewhat likely,8,5,1,2,4,6,7,3,$5000-7500,1,4,3,2,A fully self-driving car will free up my time and let me multitask,3,1,2,4,Slightly concerned,Might or might not,30-40 years,Yes,5000-10000 kilometers,Male
2017-07-14 19:10:17,2017-07-14 19:16:02,IP Address,123.136.193.89,100,345,True,2017-07-14 19:16:03,R_2A1e3XM9wETAixF,,,,,18.533294677734,73.86669921875,social,EN,Be driven by an autonomous car,6,Level 4 - Full self-drive,Somewhat likely,Somewhat likely,2,4,1,6,7,5,3,8,$0-2500,1,3,2,4,I would trust a fully self-driving car to drive for me,1,2,4,3,Very concerned,Definitely yes,20-30 years,Yes,10000-20000 kilometers,Male
2017-07-14 19:13:56,2017-07-14 19:18:22,IP Address,59.97.237.45,100,266,True,2017-07-14 19:18:25,R_12JrvKkiVIZR5Bb,,,,,18.533294677734,73.86669921875,social,EN,Be driven by an autonomous car,7,"Level 2 - Adaptive Safety Features,Level 3 - Partial self-drive",Somewhat likely,Extremely likely,1,2,3,4,5,6,7,8,$2500-5000,1,3,4,2,A fully self-driving car will free up my time and let me multitask,3,2,4,1,Moderately concerned,Definitely yes,<20 years,Yes,0-5000 kilometers,Male
2017-07-14 19:14:01,2017-07-14 19:22:17,IP Address,106.67.145.17,100,495,True,2017-07-14 19:22:18,R_3gXZVrAMSpoYWhE,,,,,18.533294677734,73.86669921875,social,EN,Self-drive,4,Level 3 - Partial self-drive,Somewhat likely,Neither likely nor unlikely,1,4,5,6,2,3,7,8,$2500-5000,1,4,3,2,A fully self-driving car will free up my time and let me multitask,3,1,2,4,Very concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Female
2017-07-14 19:35:24,2017-07-14 19:39:11,IP Address,49.14.192.143,100,227,True,2017-07-14 19:39:12,R_1pE8vy9MqoVft61,,,,,18.533294677734,73.86669921875,social,EN,Self-drive,5,Level 2 - Adaptive Safety Features,Somewhat likely,Somewhat unlikely,5,4,7,6,8,2,3,1,$0-2500,1,2,3,4,Fully-self driving cars will not be safe,2,3,4,1,Very concerned,Probably yes,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-14 19:37:32,2017-07-14 19:40:50,IP Address,49.35.15.215,100,197,True,2017-07-14 19:40:51,R_5mQ6dzIpPr5yFmV,,,,,18.533294677734,73.86669921875,social,EN,Be driven by an autonomous car,6,Level 4 - Full self-drive,Somewhat likely,Extremely likely,7,6,8,5,3,1,4,2,$0-2500,1,4,2,3,Traveling in a fully self-driving car will be a positive experience,4,1,3,2,Very concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Male
2017-07-14 14:31:59,2017-07-14 19:54:17,IP Address,42.106.24.209,100,19338,True,2017-07-14 19:54:18,R_2YPO5HXbDJsTvW6,,,,,19.997299194336,73.791000366211,social,EN,Self-drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-14 20:08:05,2017-07-14 20:11:24,IP Address,106.193.158.83,100,199,True,2017-07-14 20:11:25,R_ApnfY2KSV6HNRAt,,,,,18.533294677734,73.86669921875,social,EN,Be driven by an autonomous car,5,Level 3 - Partial self-drive,Somewhat likely,Somewhat likely,7,2,4,3,6,5,8,1,$2500-5000,1,2,4,3,A fully self-driving car will free up my time and let me multitask,2,3,4,1,Moderately concerned,Definitely yes,30-40 years,Yes,0-5000 kilometers,Female
2017-07-14 21:29:30,2017-07-14 21:36:55,IP Address,106.193.128.157,100,444,True,2017-07-14 21:36:56,R_3iwh0KgIaVhDeBY,,,,,18.533294677734,73.86669921875,social,EN,Self-drive,5,Level 2 - Adaptive Safety Features,Somewhat likely,Somewhat likely,7,8,6,4,5,1,3,2,$0-2500,1,3,4,2,Fully-self driving cars will not be safe,3,1,2,4,Very concerned,Probably yes,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-14 22:30:18,2017-07-14 22:34:09,IP Address,79.224.206.7,100,231,True,2017-07-14 22:34:10,R_Xw8hkxNGoObGGv7,,,,,50.125,8.6761932373047,social,EN,Self-drive,6,Level 3 - Partial self-drive,Somewhat likely,Somewhat likely,3,8,6,4,5,1,7,2,$5000-7500,1,3,2,4,Traveling in a fully self-driving car will be a positive experience,3,1,4,2,Moderately concerned,Probably yes,20-30 years,Yes,10000-20000 kilometers,Female
2017-07-14 22:54:31,2017-07-14 23:03:46,IP Address,93.212.46.103,100,555,True,2017-07-14 23:03:47,R_3g1r0nthxdL2RXW,,,,,50.116195678711,8.6365051269531,social,EN,Be driven by an autonomous car,4,Level 3 - Partial self-drive,Somewhat unlikely,Somewhat unlikely,4,8,5,7,3,2,6,1,$0-2500,1,2,3,4,A fully self-driving car will free up my time and let me multitask,4,1,2,3,Moderately concerned,Definitely yes,20-30 years,Yes,10000-20000 kilometers,Female
2017-07-14 23:00:45,2017-07-14 23:08:14,IP Address,116.75.17.238,100,448,True,2017-07-14 23:08:15,R_8e9J5HxTTyWq3a9,,,,,18.533294677734,73.86669921875,social,EN,Be driven by an autonomous car,8,Level 3 - Partial self-drive,Extremely likely,Extremely likely,1,6,4,2,3,5,8,7,$5000-7500,1,3,2,4,A fully self-driving car will free up my time and let me multitask,3,1,4,2,Very concerned,Definitely yes,20-30 years,Yes,10000-20000 kilometers,Male
2017-07-15 00:24:20,2017-07-15 00:28:04,IP Address,93.209.254.136,100,224,True,2017-07-15 00:28:08,R_3hmcBvSpeKL5paB,,,,,50.63330078125,8.1833038330078,social,EN,Self-drive,7,Level 2 - Adaptive Safety Features,Neither likely nor unlikely,Somewhat unlikely,4,5,2,6,8,3,7,1,$0-2500,1,2,4,3,A fully self-driving car will free up my time and let me multitask,3,4,2,1,Very concerned,Probably yes,20-30 years,Yes,>20000 kilometers,Male
2017-07-15 04:00:26,2017-07-15 04:05:40,IP Address,108.28.18.40,100,313,True,2017-07-15 04:05:40,R_RDBZcU5AkU1HaqB,,,,,38.935806274414,-77.162101745605,social,EN,Self-drive,5,Level 2 - Adaptive Safety Features,Somewhat likely,Somewhat likely,3,6,4,2,1,7,8,5,$2500-5000,,,,,A fully self-driving car will free up my time and let me multitask,3,2,1,4,Very concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Female
2017-07-15 04:21:10,2017-07-15 04:25:56,IP Address,106.216.171.74,100,286,True,2017-07-15 04:25:57,R_PSTv5V0OiBC9iRX,,,,,12.983306884766,77.583312988281,social,EN,Self-drive,10,Level 2 - Adaptive Safety Features,Extremely unlikely,Extremely unlikely,8,7,6,3,4,5,2,1,$0-2500,2,3,1,4,Fully-self driving cars will not be safe,4,2,1,3,Very concerned,Definitely not,30-40 years,Yes,5000-10000 kilometers,Male
2017-07-15 05:09:51,2017-07-15 05:14:50,IP Address,49.35.9.52,100,298,True,2017-07-15 05:14:51,R_3IbqjgoXAVZTTCy,,,,,21.149993896484,79.100006103516,social,EN,Be driven by an autonomous car,10,Level 4 - Full self-drive,Somewhat likely,Extremely likely,3,8,5,2,4,6,7,1,$2500-5000,2,4,1,3,A fully self-driving car will free up my time and let me multitask,1,3,2,4,Very concerned,Definitely yes,20-30 years,Yes,>20000 kilometers,Male
2017-07-15 05:24:09,2017-07-15 05:31:06,IP Address,49.35.13.190,100,417,True,2017-07-15 05:31:07,R_1IH3zLAa7ZMx1zs,,,,,18.533294677734,73.86669921875,social,EN,Self-drive,5,Level 2 - Adaptive Safety Features,Neither likely nor unlikely,Neither likely nor unlikely,1,2,3,6,5,4,7,8,$0-2500,,,,,Fully-self driving cars will not be safe,3,2,1,4,Very concerned,Probably yes,30-40 years,Yes,5000-10000 kilometers,Male
2017-07-15 06:24:37,2017-07-15 06:29:56,IP Address,103.82.42.193,100,319,True,2017-07-15 06:29:57,R_2YJ11PH4qzsqgDy,,,,,16.86669921875,74.566696166992,social,EN,Be driven by an autonomous car,8,Level 4 - Full self-drive,Extremely likely,Extremely likely,3,7,2,6,8,4,5,1,$5000-7500,2,3,1,4,Traveling in a fully self-driving car will be a positive experience,3,1,2,4,Slightly concerned,Definitely yes,20-30 years,Yes,10000-20000 kilometers,Male
2017-07-15 06:38:56,2017-07-15 06:44:22,IP Address,203.109.124.205,100,325,True,2017-07-15 06:44:23,R_2WAaEGAuzHQiXS5,,,,,18.533294677734,73.86669921875,social,EN,Self-drive,5,Level 3 - Partial self-drive,Somewhat likely,Somewhat likely,8,7,1,5,4,2,6,3,$2500-5000,1,3,2,4,A fully self-driving car will free up my time and let me multitask,2,1,3,4,Very concerned,Probably yes,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-15 07:39:00,2017-07-15 07:45:57,IP Address,149.62.200.54,100,416,True,2017-07-15 07:45:57,R_21FhVvOZ7KjdFwM,,,,,42.699996948242,23.333297729492,social,EN,Self-drive,5,Level 2 - Adaptive Safety Features,Neither likely nor unlikely,Neither likely nor unlikely,2,3,4,1,5,6,7,8,$2500-5000,1,4,3,2,Fully-self driving cars will not be safe,4,2,1,3,Very concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Male
2017-07-15 07:40:22,2017-07-15 07:54:35,IP Address,1.187.32.7,100,852,True,2017-07-15 07:54:36,R_25uu8RRJObrtKIR,,,,,18.533294677734,73.86669921875,social,EN,Be driven by an autonomous car,5,Level 3 - Partial self-drive,Extremely likely,Extremely likely,6,5,8,7,4,3,2,1,$2500-5000,1,2,4,3,Traveling in a fully self-driving car will be a positive experience,1,2,3,4,Very concerned,Definitely yes,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-15 08:05:16,2017-07-15 08:10:59,IP Address,85.242.159.207,100,342,True,2017-07-15 08:11:00,R_2By2QysRAe9PK5l,,,,,38.716705322266,-9.13330078125,social,EN,Self-drive,2,Level 2 - Adaptive Safety Features,Somewhat likely,Somewhat likely,1,2,4,5,6,3,7,8,$2500-5000,2,3,4,1,Traveling in a fully self-driving car will be a positive experience,1,3,4,2,Moderately concerned,Definitely not,20-30 years,Yes,5000-10000 kilometers,
2017-07-15 08:43:19,2017-07-15 08:49:09,IP Address,60.254.5.95,100,350,True,2017-07-15 08:49:11,R_1jpR8KNqNgYPmpm,,,,,18.975006103516,72.825805664062,social,EN,Self-drive,5,"Level 2 - Adaptive Safety Features,Level 3 - Partial self-drive",Somewhat unlikely,Somewhat likely,8,5,1,7,3,6,4,2,$0-2500,3,1,4,2,A fully self-driving car will free up my time and let me multitask,2,1,3,4,Moderately concerned,Probably yes,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-15 08:53:14,2017-07-15 09:00:12,IP Address,42.106.17.137,100,418,True,2017-07-15 09:00:12,R_YaiSmlw1rYtrc9X,,,,,20,77,social,EN,Self-drive,6,Level 3 - Partial self-drive,Somewhat unlikely,Extremely unlikely,1,5,8,3,2,4,6,7,$2500-5000,1,3,4,2,Fully-self driving cars will not be safe,3,1,2,4,Very concerned,Probably yes,20-30 years,Yes,10000-20000 kilometers,Female
2017-07-15 08:53:16,2017-07-15 09:00:49,IP Address,42.106.17.137,100,452,True,2017-07-15 09:00:49,R_2Ehu1FXcytHmprT,,,,,20,77,social,EN,Self-drive,5,Level 2 - Adaptive Safety Features,Somewhat likely,Extremely likely,2,7,4,1,5,3,6,8,$2500-5000,1,3,2,4,Fully-self driving cars will not be safe,2,1,3,4,Moderately concerned,Probably yes,20-30 years,Yes,10000-20000 kilometers,Female
2017-07-15 09:04:52,2017-07-15 09:08:44,IP Address,106.51.140.75,100,232,True,2017-07-15 09:08:45,R_1jdZPC9i5sWpXvV,,,,,12.983306884766,77.583312988281,social,EN,Self-drive,6,Level 3 - Partial self-drive,Somewhat likely,Neither likely nor unlikely,5,4,7,6,2,8,1,3,$0-2500,1,4,2,3,Fully-self driving cars will not be safe,1,2,3,4,Very concerned,Probably not,>60 years,Yes,0-5000 kilometers,Female
2017-07-15 09:42:04,2017-07-15 09:44:07,IP Address,49.35.9.60,100,123,True,2017-07-15 09:44:10,R_1o0UagrIY5sk3OY,,,,,18.533294677734,73.86669921875,social,EN,,1,Level 1 - Basic Automation,Extremely likely,Extremely likely,1,5,3,2,4,6,7,8,$0-2500,3,1,2,4,Traveling in a fully self-driving car will be a positive experience,2,3,4,1,,Probably yes,<20 years,Yes,0-5000 kilometers,Female
2017-07-14 13:14:30,2017-07-15 10:25:09,IP Address,183.82.183.127,100,76238,True,2017-07-15 10:25:10,R_3NE5kfH8mVatapq,,,,,17.375305175781,78.474395751953,social,EN,Self-drive,6,Level 2 - Adaptive Safety Features,Somewhat likely,Somewhat likely,7,5,2,4,8,3,6,1,$2500-5000,3,4,2,1,A fully self-driving car will free up my time and let me multitask,4,1,2,3,Slightly concerned,Definitely yes,30-40 years,Yes,10000-20000 kilometers,Male
2017-07-15 11:19:09,2017-07-15 11:25:30,IP Address,88.74.224.94,100,381,True,2017-07-15 11:25:31,R_UxBO2PE3fFBkncZ,,,,,51.299301147461,9.4909973144531,social,EN,Self-drive,9,Level 2 - Adaptive Safety Features,Neither likely nor unlikely,Neither likely nor unlikely,1,8,5,2,7,6,4,3,$0-2500,,,,,Traveling in a fully self-driving car will be a positive experience,3,1,2,4,Moderately concerned,Probably yes,20-30 years,Yes,0-5000 kilometers,Female
2017-07-15 11:38:48,2017-07-15 11:45:03,IP Address,103.215.243.5,100,375,True,2017-07-15 11:45:04,R_27PhtO1t62bf23W,,,,,26.183303833008,91.733306884766,social,EN,Self-drive,7,Level 3 - Partial self-drive,Extremely likely,Extremely unlikely,8,5,1,7,4,6,2,3,$2500-5000,1,4,3,2,Traveling in a fully self-driving car will be a positive experience,3,2,1,4,Slightly concerned,Might or might not,30-40 years,Yes,10000-20000 kilometers,Male
2017-07-15 11:59:47,2017-07-15 12:06:08,IP Address,117.223.189.120,100,380,True,2017-07-15 12:06:09,R_1QheofiB2ChSg7F,,,,,10.992492675781,76.961395263672,social,EN,Self-drive,2,Level 2 - Adaptive Safety Features,Extremely unlikely,Neither likely nor unlikely,8,3,6,7,1,2,5,4,$0-2500,4,3,2,1,Fully-self driving cars will not be safe,2,1,4,3,Very concerned,Probably yes,20-30 years,Yes,0-5000 kilometers,Female
2017-07-15 12:04:30,2017-07-15 12:09:04,IP Address,49.248.9.20,100,273,True,2017-07-15 12:09:05,R_sFCQTmrrynLABQR,,,,,18.975006103516,72.825805664062,social,EN,Self-drive,5,Level 2 - Adaptive Safety Features,Neither likely nor unlikely,Neither likely nor unlikely,8,7,1,5,2,3,4,6,$0-2500,1,3,4,2,Fully-self driving cars will not be safe,3,1,2,4,Moderately concerned,Probably yes,30-40 years,Yes,10000-20000 kilometers,Male
2017-07-15 12:58:34,2017-07-15 13:06:43,IP Address,171.50.239.29,100,489,True,2017-07-15 13:06:44,R_1o6WIyCVlEGRfxY,,,,,18.975006103516,72.825805664062,social,EN,Self-drive,9,Level 2 - Adaptive Safety Features,Extremely likely,Extremely likely,6,1,3,2,5,8,4,7,$5000-7500,1,2,4,3,A fully self-driving car will free up my time and let me multitask,1,2,4,3,Moderately concerned,Might or might not,20-30 years,Yes,0-5000 kilometers,Male
2017-07-15 13:55:31,2017-07-15 14:10:22,IP Address,73.68.45.229,100,890,True,2017-07-15 14:10:23,R_3hA21bJGQyfRum8,,,,,44.532699584961,-73.057998657227,social,EN,Be driven by an autonomous car,8,Level 3 - Partial self-drive,Extremely likely,Somewhat likely,1,3,5,2,4,6,7,8,$2500-5000,1,4,2,3,Traveling in a fully self-driving car will be a positive experience,4,1,3,2,Moderately concerned,Definitely yes,30-40 years,Yes,10000-20000 kilometers,Male
2017-07-15 15:35:48,2017-07-15 15:51:44,IP Address,182.70.48.131,100,956,True,2017-07-15 15:51:46,R_2aLhdhy0YAmydS6,,,,,18.975006103516,72.825805664062,social,EN,Be driven by an autonomous car,8,Level 4 - Full self-drive,Extremely likely,Extremely likely,3,4,2,8,7,6,5,1,$0-2500,1,3,2,4,Traveling in a fully self-driving car will be a positive experience,2,1,4,3,Moderately concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Male
2017-07-15 16:00:18,2017-07-15 16:04:41,IP Address,106.51.243.127,100,262,True,2017-07-15 16:04:42,R_2VjPW7pVvYviBOk,,,,,12.983306884766,77.583312988281,social,EN,Self-drive,5,Level 2 - Adaptive Safety Features,Somewhat likely,Somewhat unlikely,6,1,8,4,7,5,3,2,$0-2500,1,3,4,2,Fully-self driving cars will not be safe,1,2,3,4,Moderately concerned,Might or might not,20-30 years,Yes,>20000 kilometers,Male
2017-07-15 16:11:03,2017-07-15 16:14:43,IP Address,183.87.62.222,100,219,True,2017-07-15 16:14:43,R_3PGL49Z8XePgSrA,,,,,18.75,73.416702270508,social,EN,Be driven by an autonomous car,10,Level 4 - Full self-drive,Extremely likely,Extremely likely,4,6,2,1,5,7,8,3,$7500 & above,,,,,I would trust a fully self-driving car to drive for me,1,2,3,4,Moderately concerned,Definitely yes,20-30 years,Yes,,Male
2017-07-15 16:33:42,2017-07-15 16:37:20,IP Address,37.201.102.12,100,218,True,2017-07-15 16:37:21,R_3iLjnDATCgFVNGr,,,,,50.120895385742,8.6965942382812,social,EN,Be driven by an autonomous car,7,Level 4 - Full self-drive,Extremely likely,Extremely likely,2,8,6,5,4,3,7,1,$2500-5000,1,3,2,4,I would trust a fully self-driving car to drive for me,3,1,2,4,Moderately concerned,Definitely yes,20-30 years,No,,Female
2017-07-15 17:04:16,2017-07-15 17:14:26,IP Address,109.153.142.108,100,610,True,2017-07-15 17:14:27,R_2P6BhIbYcl30Xec,,,,,51.520706176758,-0.19650268554688,social,EN,Self-drive,7,Level 4 - Full self-drive,Neither likely nor unlikely,Somewhat likely,6,8,1,7,3,2,5,4,$7500 & above,3,4,1,2,A fully self-driving car will free up my time and let me multitask,2,1,3,4,Slightly concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Male
2017-07-15 18:00:13,2017-07-15 18:04:15,IP Address,79.214.241.71,100,242,True,2017-07-15 18:04:16,R_1gekb84rjePfBl2,,,,,50.145706176758,8.6549072265625,social,EN,Be driven by an autonomous car,8,Level 4 - Full self-drive,Somewhat likely,Extremely likely,6,8,1,7,3,2,5,4,$2500-5000,3,2,1,4,Traveling in a fully self-driving car will be a positive experience,3,2,4,1,Moderately concerned,Definitely yes,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-15 18:03:10,2017-07-15 18:11:31,IP Address,117.248.180.47,100,500,True,2017-07-15 18:11:33,R_2bQum6FfWJ06zdY,,,,,18.533294677734,73.86669921875,social,EN,Self-drive,7,Level 3 - Partial self-drive,Somewhat unlikely,Neither likely nor unlikely,1,8,3,4,5,6,7,2,$2500-5000,1,4,2,3,Traveling in a fully self-driving car will be a positive experience,3,1,4,2,Moderately concerned,Probably yes,30-40 years,Yes,5000-10000 kilometers,Male
2017-07-15 18:24:15,2017-07-15 18:28:15,IP Address,108.50.198.7,100,240,True,2017-07-15 18:28:16,R_1PRWX3D23fI9SvW,,,,,40.716705322266,-74.078102111816,social,EN,Self-drive,3,Level 3 - Partial self-drive,Extremely likely,Somewhat likely,6,8,2,5,4,3,7,1,$2500-5000,1,3,2,4,Fully-self driving cars will not be safe,3,4,2,1,Very concerned,Probably yes,20-30 years,Yes,0-5000 kilometers,Female
2017-07-15 18:24:13,2017-07-15 18:28:57,IP Address,49.248.9.20,100,283,True,2017-07-15 18:28:57,R_DveZc0cc4VjIVUJ,,,,,18.975006103516,72.825805664062,social,EN,Self-drive,5,"Level 2 - Adaptive Safety Features,Level 3 - Partial self-drive",Somewhat likely,Neither likely nor unlikely,5,7,6,1,3,4,2,8,$0-2500,1,4,3,2,A fully self-driving car will free up my time and let me multitask,1,2,3,4,Moderately concerned,Might or might not,30-40 years,Yes,0-5000 kilometers,Female
2017-07-15 18:37:23,2017-07-15 18:42:29,IP Address,27.59.90.6,100,306,True,2017-07-15 18:42:30,R_SYK0U4ueUovCkOB,,,,,12.983306884766,77.583312988281,social,EN,Self-drive,5,Level 4 - Full self-drive,Extremely likely,Extremely likely,7,5,3,8,4,6,2,1,$2500-5000,1,4,2,3,Traveling in a fully self-driving car will be a positive experience,2,1,3,4,Very concerned,Definitely yes,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-15 18:27:06,2017-07-15 18:51:13,IP Address,24.118.69.52,100,1447,True,2017-07-15 18:51:15,R_27UVfVvSeF26Ioc,,,,,44.919799804688,-92.943801879883,social,EN,Be driven by an autonomous car,8,Level 3 - Partial self-drive,Extremely likely,Somewhat likely,1,2,3,4,7,6,5,8,$0-2500,1,3,2,4,Traveling in a fully self-driving car will be a positive experience,2,1,3,4,Moderately concerned,Definitely yes,40-50 years,Yes,10000-20000 kilometers,Male
2017-07-15 18:54:00,2017-07-15 19:00:23,IP Address,66.41.223.131,100,383,True,2017-07-15 19:00:24,R_NX9HQHM3tVuS0qR,,,,,44.919799804688,-92.943801879883,social,EN,Be driven by an autonomous car,8,Level 4 - Full self-drive,Extremely likely,Extremely likely,1,4,2,5,3,6,7,8,$2500-5000,2,3,1,4,A fully self-driving car will free up my time and let me multitask,2,1,3,4,Slightly concerned,Definitely yes,40-50 years,Yes,10000-20000 kilometers,Male
2017-07-15 19:09:48,2017-07-15 19:31:35,IP Address,27.63.31.131,100,1307,True,2017-07-15 19:31:36,R_2QDwncN4v17LlHz,,,,,17.375305175781,78.474395751953,social,EN,Be driven by an autonomous car,7,Level 4 - Full self-drive,Extremely likely,Somewhat likely,6,7,3,8,5,1,4,2,$5000-7500,1,2,3,4,A fully self-driving car will free up my time and let me multitask,1,2,4,3,Very concerned,Definitely yes,20-30 years,Yes,>20000 kilometers,Male
2017-07-15 20:44:23,2017-07-15 20:48:46,IP Address,68.34.200.17,100,262,True,2017-07-15 20:48:47,R_23WwhD4fm39AMqa,,,,,36.208206176758,-86.878997802734,social,EN,Be driven by an autonomous car,5,Level 3 - Partial self-drive,Somewhat likely,Somewhat likely,6,5,8,7,2,3,4,1,$2500-5000,2,4,3,1,A fully self-driving car will free up my time and let me multitask,4,1,2,3,Slightly concerned,Probably yes,50-60 years,Yes,>20000 kilometers,Male
2017-07-15 21:46:20,2017-07-15 21:54:54,IP Address,157.48.12.217,100,513,True,2017-07-15 21:54:54,R_wOfT8rwGznif03f,,,,,17.375305175781,78.474395751953,social,EN,Be driven by an autonomous car,2,Level 4 - Full self-drive,Somewhat likely,Extremely unlikely,3,8,5,1,2,7,4,6,$0-2500,1,3,2,4,Traveling in a fully self-driving car will be a positive experience,2,1,4,3,Very concerned,Definitely yes,20-30 years,Yes,10000-20000 kilometers,Male
2017-07-15 23:33:20,2017-07-15 23:37:26,IP Address,50.39.101.136,100,246,True,2017-07-15 23:37:29,R_24kPLtGIEbJn0rT,,,,,45.553405761719,-122.8191986084,social,EN,Self-drive,1,"Level 2 - Adaptive Safety Features,Level 3 - Partial self-drive",Somewhat likely,Somewhat unlikely,6,4,7,2,5,1,3,8,$0-2500,,,,,Fully-self driving cars will not be safe,3,1,2,4,Very concerned,Probably yes,30-40 years,Yes,0-5000 kilometers,Female
2017-07-15 23:49:19,2017-07-15 23:53:34,IP Address,67.81.48.60,100,254,True,2017-07-15 23:53:34,R_1FydrMTNPcbBJcF,,,,,40.212005615234,-74.57250213623,social,EN,Self-drive,5,"Level 2 - Adaptive Safety Features,Level 3 - Partial self-drive",Extremely likely,Somewhat likely,1,7,6,3,5,2,4,8,$7500 & above,1,3,4,2,Fully-self driving cars will not be safe,4,2,1,3,Very concerned,Definitely yes,30-40 years,Yes,>20000 kilometers,Male
2017-07-16 13:30:29,2017-07-16 13:38:42,IP Address,85.182.42.101,100,492,True,2017-07-16 13:38:43,R_25F7jc7JL2w0UyP,,,,,51.470596313477,6.8567962646484,anonymous,EN,Self-drive,2,Level 3 - Partial self-drive,Somewhat likely,Extremely likely,3,8,4,6,2,1,5,7,$2500-5000,1,4,2,3,Traveling in a fully self-driving car will be a positive experience,4,1,3,2,Very concerned,Probably yes,30-40 years,No,,Female
2017-07-16 15:16:43,2017-07-16 15:22:07,IP Address,5.169.238.204,100,323,True,2017-07-16 15:22:07,R_1mFAGx4HUzXqU9o,,,,,45.070495605469,7.6867980957031,social,EN,Self-drive,6,Level 3 - Partial self-drive,Extremely unlikely,Somewhat unlikely,5,7,6,4,1,2,8,3,$0-2500,1,3,2,4,Traveling in a fully self-driving car will be a positive experience,3,2,1,4,Moderately concerned,Definitely yes,40-50 years,Yes,10000-20000 kilometers,Female
2017-07-16 18:45:12,2017-07-16 18:50:20,IP Address,5.170.124.53,100,308,True,2017-07-16 18:50:21,R_C7SeQh5xJv3VKdH,,,,,41.899993896484,12.483306884766,social,EN,Self-drive,4,Level 3 - Partial self-drive,Neither likely nor unlikely,Somewhat unlikely,,,,,,,,,$5000-7500,3,2,4,1,Fully-self driving cars will not be safe,4,1,2,3,Very concerned,Might or might not,50-60 years,Yes,10000-20000 kilometers,Male
2017-07-16 19:24:48,2017-07-16 19:28:20,IP Address,188.97.248.164,100,212,True,2017-07-16 19:28:21,R_3sBbOGsamHa2oTL,,,,,50.133895874023,8.5269927978516,social,EN,Self-drive,5,"Level 3 - Partial self-drive,Level 4 - Full self-drive",Somewhat unlikely,Somewhat unlikely,7,6,2,8,3,4,5,1,$0-2500,1,2,4,3,A fully self-driving car will free up my time and let me multitask,4,2,1,3,Very concerned,Definitely yes,20-30 years,Yes,>20000 kilometers,Female
2017-07-16 20:10:59,2017-07-16 20:14:42,IP Address,172.5.212.49,100,223,True,2017-07-16 20:14:44,R_1odtNtAdtzbsbve,,,,,42.216705322266,-83.740600585938,social,EN,Be driven by an autonomous car,8,Level 3 - Partial self-drive,Extremely likely,Extremely likely,1,5,8,2,6,7,4,3,$2500-5000,2,3,1,4,Traveling in a fully self-driving car will be a positive experience,3,2,1,4,Moderately concerned,Definitely yes,40-50 years,Yes,5000-10000 kilometers,Female
2017-07-16 21:49:37,2017-07-16 21:55:37,IP Address,188.93.81.209,100,360,True,2017-07-16 21:55:38,R_qFtbm65WKk8E3gB,,,,,51.050003051758,3.7167053222656,social,EN,Be driven by an autonomous car,10,Level 4 - Full self-drive,Extremely likely,Somewhat likely,3,4,2,6,5,7,8,1,$0-2500,2,3,1,4,A fully self-driving car will free up my time and let me multitask,3,2,1,4,Slightly concerned,Definitely yes,50-60 years,Yes,5000-10000 kilometers,Male
